ID,DemHomeOwner,LostCustomer,regionPctCustomers,numOfTotalReturns,wksSinceLastPurch,customerGender,basktPurchCount12Month,LastPurchaseAmount,AvgPurchaseAmount12,AvgPurchaseAmountTotal,EstimatedIncome,regionMedHomeVal,intAdExposureCount12,intAdExposureCount36,intAdExposureCountAll,customerSubscrStat,socialMediaAdCount12,socialMediaAdCount36,socialMediaAdCountAll,totalNumProdPurchased,custInitiatedContacts,CustomerAge,avgDiscountValue12,customersales,techSupportEval,wksSinceFirstPurch,Review_Text,Title
9277,H,0,35,0,6,F,5,    $50.00,    $35.00,    $32.20,$151000.00,"$53,430.00",27,46,92,Platinum,5,5,29,18,3,          20,       .,   $349.64,           2,146,,
9279,H,0,31,0,26,F,10,    $90.00,     $0.00,   $106.65,"$50,000.00",$110890.00,27,27,94,Platinum,5,5,26,21,3,          28,       .,   $669.87,           3,129,,
9301,H,0,55,2,18,M,2,    $60.00,    $53.75,    $38.35,$130000.00,"$94,900.00",15,33,77,Platinum,6,14,28,15,3,          20,    $10.50,   $386.11,           2,137,,
9304,H,0,45,0,26,F,10,    $50.00,     $0.00,    $64.60,"$81,000.00","$76,960.00",27,27,90,Platinum,4,4,26,13,2,          22,       .,   $345.18,           2,127,,
9310,H,0,27,1,19,F,3,    $75.00,    $70.00,    $47.75,$107000.00,"$89,310.00",13,31,61,Platinum,5,14,22,11,2,           .,    $13.00,   $547.40,           3,99,,
9313,H,0,30,0,13,F,3,   $100.00,    $83.35,    $74.10,"$71,000.00","$63,570.00",36,57,98,Platinum,6,6,28,17,2,           .,       .,   $703.89,           3,129,,
9330,H,0,25,0,26,F,10,    $80.00,     $0.00,    $52.25,"$98,000.00","$94,250.00",11,11,59,Platinum,4,4,21,11,2,          35,       .,   $676.11,           3,112,,
9337,U,0,33,0,26,F,10,    $90.00,     $0.00,    $57.50,"$90,000.00","$49,010.00",26,26,80,Platinum,4,4,24,8,2,           .,       .,   $665.73,           3,137,,
9377,U,0,27,1,21,M,5,   $100.00,   $100.00,    $77.20,"$68,000.00",$215020.00,13,31,77,Platinum,6,14,20,9,2,           .,    $20.00," $1,109.62",           3,116,,
9380,H,0,28,0,5,F,10,    $50.00,     $0.00,    $63.25,"$82,000.00",$170690.00,38,38,95,Platinum,7,7,27,17,2,          28,       .,   $341.07,           2,129,,
9385,H,0,36,0,25,M,5,    $50.00,    $50.00,    $50.00,$102000.00,"$48,880.00",27,44,62,Platinum,6,6,17,7,1,          23,       .,   $518.71,           3,81,,
9386,H,0,33,0,19,F,5,   $100.00,   $100.00,    $66.65,"$79,000.00","$55,900.00",29,48,86,Platinum,6,6,27,9,2,           .,       .," $1,114.06",           3,145,,
9398,U,0,23,0,18,F,10,    $75.00,     $0.00,    $95.00,"$56,000.00","$61,880.00",29,29,91,Platinum,6,6,27,9,2,           .,       .,   $495.16,           3,149,,
9422,U,0,27,2,15,F,2,    $50.00,    $50.00,    $50.75,$101000.00,$451880.00,12,27,84,Platinum,5,13,25,33,3,          69,    $10.00,   $387.74,           2,137,,
9428,U,0,44,0,26,M,5,    $50.00,    $50.00,    $33.35,$147000.00,"$58,760.00",6,22,75,Platinum,2,2,20,21,3,          18,       .,   $509.34,           2,152,,
9433,H,0,18,0,26,F,10,    $90.00,     $0.00,    $53.45,"$96,000.00",$107120.00,27,27,91,Platinum,5,5,27,16,3,          24,       .,   $668.14,           3,137,,
9436,H,0,46,0,18,U,3,    $50.00,    $50.00,    $39.25,$127000.00,"$90,480.00",12,32,85,Platinum,6,6,34,30,3,          22,       .,   $398.82,           2,149,,
9440,H,0,23,2,4,M,2,    $50.00,    $75.00,    $55.80,"$93,000.00","$29,900.00",30,49,77,Platinum,4,14,21,19,2,          30,    $15.00,   $579.76,           3,90,,
9444,U,0,30,3,15,F,3,    $75.00,    $61.65,    $46.55,$109000.00,"$76,310.00",14,26,83,Platinum,3,8,23,26,3,          38,    $12.33,   $485.85,           3,154,,
9447,H,0,0,0,26,M,10,   $125.00,     $0.00,   $118.75,"$45,000.00","$56,420.00",26,26,62,Platinum,5,5,17,4,0,           .,       .,   $680.19,           .,76,,
9481,U,0,34,0,11,F,10,    $25.00,     $0.00,    $70.00,"$75,000.00","$63,960.00",32,32,76,Platinum,5,5,18,9,2,           .,       .,   $489.34,           2,86,,
9485,U,0,19,0,26,F,5,    $50.00,    $50.00,    $37.75,$132000.00,"$52,260.00",12,31,90,Platinum,5,5,29,20,3,           .,       .,   $510.08,           2,143,,
9496,U,0,32,0,26,F,10,    $90.00,     $0.00,    $55.50,"$93,000.00","$84,370.00",12,12,57,Platinum,5,5,21,10,2,          26,       .,   $670.27,           3,99,,
9497,U,0,37,0,26,F,10,    $80.00,     $0.00,    $47.50,$107000.00,"$29,250.00",11,11,66,Platinum,4,4,24,12,2,          18,       .,   $678.06,           3,126,,
9512,H,0,42,0,14,F,10,   $115.00,     $0.00,    $75.50,"$70,000.00",$116480.00,29,29,89,Platinum,5,5,25,10,2,          35,       .,   $676.04,           3,129,,
9529,U,0,51,1,16,F,5,    $70.00,    $80.00,    $57.70,"$90,000.00","$66,300.00",27,43,103,Platinum,4,10,30,13,3,          23,    $16.00," $1,077.68",           2,144,,
9543,H,0,32,0,26,M,10,    $80.00,     $0.00,    $46.90,$108000.00,$127920.00,27,27,67,Platinum,5,5,17,8,2,          40,       .,   $668.31,           3,81,,
9559,U,0,17,1,18,F,5,   $105.00,   $105.00,    $80.00,"$66,000.00",$328120.00,14,28,71,Platinum,6,12,21,11,3,          20,    $21.00," $1,107.16",           3,112,,
9571,H,0,17,1,23,F,5,    $80.00,    $80.00,    $69.00,"$76,000.00",$441740.00,11,29,61,Platinum,4,12,18,5,2,          37,    $16.00," $1,092.02",           3,101,,
9574,H,0,39,0,5,M,3,   $100.00,    $61.65,    $64.10,"$81,000.00",$138840.00,32,49,96,Platinum,8,8,27,22,3,          23,       .,   $669.32,           3,137,,
9595,H,0,47,0,5,M,10,    $50.00,     $0.00,    $53.10,"$97,000.00",$223210.00,30,30,92,Platinum,4,4,28,13,2,          17,       .,   $348.18,           2,147,,
9622,U,0,30,1,25,F,3,    $65.00,    $60.00,    $34.70,$142000.00,     $0.00,12,32,82,Platinum,5,14,28,16,3,           .,    $11.00,   $490.98,           2,155,,
9624,U,0,40,1,26,M,3,    $50.00,    $50.00,    $38.55,$129000.00,"$95,810.00",12,31,69,Platinum,4,13,21,14,2,          21,    $10.00,   $398.57,           2,104,,
9637,H,1,44,5,23,F,2,    $60.00,    $60.00,    $49.55,$103000.00,$157560.00,13,30,54,Platinum,4,14,14,11,2,          38,    $12.00,   $335.42,           2,68,,
9673,U,0,40,2,18,F,2,    $50.00,    $36.25,    $29.40,$164000.00,$102180.00,16,35,99,Platinum,5,14,32,26,3,          18,     $6.50,   $315.09,           2,146,,
9675,U,0,0,0,6,M,3,    $50.00,    $66.65,    $59.20,"$88,000.00","$44,070.00",34,55,115,Platinum,8,8,35,19,2,          21,       .,   $541.39,           2,144,,
9690,U,0,0,0,26,M,10,    $50.00,     $0.00,    $45.85,$111000.00,$130390.00,23,23,95,Platinum,4,4,29,24,3,          31,       .,   $345.62,           2,149,,
9715,H,0,35,0,6,F,5,   $100.00,   $125.00,    $78.10,"$68,000.00",$272740.00,42,62,111,Platinum,8,8,33,21,3,          21,       .," $1,745.92",           3,153,,
9717,H,0,0,1,17,M,5,    $50.00,    $50.00,    $64.20,"$81,000.00","$82,940.00",6,14,56,Member,2,6,20,19,3,           .,    $10.00,   $519.65,           2,135,,
9718,U,0,37,0,7,M,3,    $50.00,    $50.00,    $50.35,$102000.00,"$77,480.00",34,52,91,Platinum,6,6,29,15,3,          19,       .,   $393.80,           2,150,,
9720,H,0,34,1,20,F,5,    $70.00,    $70.00,    $60.00,"$87,000.00","$91,910.00",22,40,102,Platinum,5,13,30,20,3,          21,    $14.00,   $547.15,           2,145,,
9723,H,0,25,0,26,F,10,    $90.00,     $0.00,    $86.25,"$62,000.00",$186420.00,26,26,86,Platinum,5,5,27,8,2,          36,       .,   $663.93,           3,146,,
9752,H,0,9,0,19,M,5,    $75.00,    $75.00,    $60.00,"$87,000.00",$155220.00,27,46,89,Platinum,6,6,23,14,2,           .,       .,   $789.77,           3,102,,
9767,H,0,37,4,16,F,1,    $50.00,    $38.35,    $48.10,$106000.00,"$85,150.00",26,42,89,Platinum,4,12,20,26,3,          69,     $9.00,   $228.62,           2,153,,
9790,H,0,39,0,17,M,10,    $50.00,     $0.00,    $88.50,"$60,000.00","$57,980.00",34,34,99,Platinum,6,6,29,10,2,          23,       .,   $352.43,           3,116,,
9804,U,0,23,1,6,F,3,    $75.00,    $62.50,    $57.00,"$91,000.00","$59,410.00",35,46,73,Platinum,6,12,18,15,2,          19,    $10.00,   $551.10,           3,126,,
9810,U,0,19,0,6,M,5,    $75.00,    $35.00,    $44.70,$113000.00,"$46,410.00",28,48,71,Platinum,5,5,19,16,2,          18,       .,   $490.13,           3,86,,
9818,H,0,37,0,26,F,10,    $90.00,     $0.00,    $59.45,"$87,000.00","$80,730.00",29,29,78,Platinum,4,4,20,9,2,          20,       .,   $671.22,           3,111,,
9829,U,0,13,0,4,F,10,    $50.00,     $0.00,    $41.80,$120000.00,$207610.00,33,33,101,Platinum,4,4,29,36,3,          23,       .,   $354.76,           2,149,,
9833,H,0,31,0,5,F,10,    $25.00,     $0.00,    $76.90,"$69,000.00",$523770.00,44,44,82,Platinum,6,6,18,13,2,          31,       .,   $488.47,           2,81,,
9837,U,0,0,0,5,F,10,    $25.00,     $0.00,    $44.30,$114000.00,$104000.00,32,32,63,Platinum,4,4,12,7,1,          25,       .,   $192.38,           2,81,,
9840,H,1,40,0,26,F,10,   $100.00,     $0.00,    $80.85,"$66,000.00",$205270.00,26,26,71,Platinum,5,5,19,6,0,          27,       .,   $135.97,           .,138,,
9853,H,0,3,1,7,M,3,    $50.00,    $95.00,    $52.05,"$99,000.00",$185120.00,36,53,85,Platinum,6,13,24,17,3,          25,    $18.00,   $704.48,           2,129,,
9868,H,0,29,0,13,F,3,    $50.00,    $90.00,    $80.00,"$66,000.00","$78,260.00",33,50,94,Platinum,6,6,29,11,2,          19,       .,   $711.64,           3,122,,
9885,H,0,25,0,4,F,10,    $50.00,     $0.00,    $66.00,"$79,000.00",$109070.00,31,31,77,Platinum,4,4,17,10,2,          35,       .,   $339.39,           3,101,,
9890,U,0,34,0,26,M,10,   $100.00,     $0.00,    $77.00,"$69,000.00",$391300.00,26,26,92,Platinum,5,5,32,20,3,           .,       .,   $672.47,           3,149,,
9918,U,0,12,0,5,F,10,    $50.00,     $0.00,    $73.00,"$72,000.00",$101270.00,33,33,77,Platinum,5,5,17,10,2,          35,       .,   $349.19,           3,87,,
9926,U,0,24,0,4,M,10,    $50.00,     $0.00,    $92.80,"$58,000.00",$398190.00,40,40,107,Platinum,5,5,28,18,3,           .,       .,   $339.98,           2,134,,
9931,H,0,46,0,6,F,3,    $75.00,    $60.00,    $41.70,$120000.00,     $0.00,30,49,104,Platinum,6,6,31,38,4,           .,       .,   $491.13,           3,152,,
9949,H,0,27,0,7,F,10,    $50.00,     $0.00,    $50.00,$102000.00,"$49,010.00",36,36,99,Platinum,5,5,30,19,3,          50,       .,   $348.40,           2,152,,
9951,H,0,42,0,5,M,3,    $50.00,    $80.00,    $63.35,"$82,000.00",$175500.00,21,42,81,Platinum,6,6,29,12,2,          20,       .,   $710.12,           3,147,,
9965,H,0,31,0,6,M,5,    $50.00,    $25.00,    $30.65,$158000.00,"$67,860.00",37,56,67,Platinum,5,5,13,16,1,          47,       .,   $338.79,           3,69,,
9972,H,0,44,0,26,M,5,    $80.00,    $35.00,    $55.00,"$94,000.00","$60,840.00",13,31,35,Platinum,4,4,11,4,0,          19,       .,   $677.46,           .,64,,
9982,H,0,24,0,10,F,10,    $50.00,     $0.00,    $69.00,"$76,000.00",$104650.00,30,30,77,Platinum,5,5,20,10,2,          22,       .,   $343.18,           3,91,,
9985,H,0,43,0,11,F,10,    $75.00,     $0.00,    $24.00,$194000.00,"$58,370.00",26,26,88,Platinum,4,4,25,20,3,          18,       .,   $492.10,           3,150,,
9998,H,0,40,0,18,F,5,    $50.00,    $75.00,    $69.15,"$76,000.00",$119340.00,32,51,62,Platinum,6,6,14,6,0,          32,       .,   $784.36,           .,68,,
10000,U,0,17,0,4,F,10,   $100.00,     $0.00,   $112.90,"$48,000.00","$83,720.00",30,30,94,Platinum,5,5,29,12,2,          19,       .,   $672.03,           3,119,,
10046,H,0,0,1,5,M,3,    $50.00,    $50.00,    $45.00,$113000.00,$102570.00,38,57,116,Platinum,6,14,25,16,2,          24,    $10.00,   $389.65,           2,126,,
10066,H,0,27,0,4,M,10,    $50.00,     $0.00,    $45.40,$112000.00,"$51,220.00",39,39,98,Platinum,7,7,27,20,3,          32,       .,   $353.99,           2,137,,
10085,H,0,27,0,25,F,5,    $50.00,    $50.00,    $33.70,$145000.00,"$82,680.00",26,46,91,Platinum,6,6,31,23,3,          36,       .,   $511.07,           2,154,,
10109,H,0,24,0,6,M,5,    $50.00,    $50.00,    $47.70,$107000.00,$356070.00,27,42,69,Platinum,4,4,17,13,2,          22,       .,   $517.41,           2,92,,
10112,U,0,21,0,4,M,3,    $50.00,    $62.50,    $55.55,"$93,000.00",$101660.00,35,54,66,Platinum,9,9,18,9,1,           .,       .,   $545.52,           3,65,,
10113,H,0,60,0,16,U,10,    $50.00,     $0.00,    $60.00,"$87,000.00",$146250.00,31,31,85,Platinum,4,4,21,10,2,          20,       .,   $347.16,           2,114,,
10139,H,0,43,1,5,F,5,    $50.00,   $110.00,    $75.70,"$70,000.00",$156000.00,25,44,63,Platinum,6,14,17,7,2,          43,    $22.00," $1,113.23",           3,76,,
10140,H,0,39,1,16,F,3,    $50.00,    $37.50,    $40.70,$123000.00,$113880.00,27,45,62,Platinum,6,13,15,7,2,          17,    $10.00,   $345.73,           3,87,,
10143,U,0,35,0,7,F,10,    $50.00,     $0.00,    $52.65,"$98,000.00",$173680.00,32,32,90,Platinum,5,5,26,17,2,          31,       .,   $347.32,           2,129,,
10163,H,0,22,0,4,M,10,    $50.00,     $0.00,    $56.50,"$91,000.00",$398710.00,32,32,93,Platinum,6,6,26,20,3,          27,       .,   $342.48,           2,128,,
10167,U,0,34,0,26,F,10,    $90.00,     $0.00,    $47.80,$107000.00,$113490.00,26,26,79,Platinum,5,5,22,9,2,          25,       .,   $677.65,           3,112,,
10170,U,0,35,0,26,F,10,    $90.00,     $0.00,    $64.50,"$81,000.00","$50,960.00",26,26,78,Platinum,5,5,26,10,2,          24,       .,   $674.43,           3,135,,
10174,H,0,24,0,6,M,10,    $50.00,     $0.00,    $35.70,$138000.00,"$99,840.00",30,30,97,Platinum,4,4,29,21,3,          29,       .,   $347.96,           2,154,,
10178,H,0,25,0,18,M,5,    $90.00,    $90.00,    $56.80,"$91,000.00","$49,400.00",35,54,90,Platinum,6,6,26,11,2,          37,       .," $1,088.65",           3,137,,
10179,U,0,33,0,26,M,10,    $60.00,     $0.00,    $31.45,$154000.00,$133120.00,24,24,87,Platinum,4,4,29,17,3,           .,       .,   $501.09,           2,154,,
10195,U,0,0,0,17,F,5,    $25.00,    $25.00,    $43.35,$116000.00,     $0.00,9,26,33,Platinum,4,4,11,6,1,          23,       .,   $223.19,           2,68,,
10203,U,0,28,0,26,F,10,    $90.00,     $0.00,    $58.50,"$89,000.00",$255190.00,25,25,88,Platinum,4,4,28,10,2,          30,       .,   $668.29,           3,147,,
10210,H,0,49,0,15,F,5,    $90.00,    $90.00,    $48.55,$105000.00,$316420.00,26,43,63,Platinum,5,5,16,7,2,          29,       .," $1,092.67",           3,89,,
10231,H,0,14,0,17,F,5,   $125.00,    $80.00,    $71.00,"$74,000.00","$53,430.00",33,49,57,Platinum,5,5,11,5,0,          27,       .," $1,086.61",           .,68,,
10240,U,0,35,0,26,F,3,    $70.00,    $90.00,    $65.45,"$80,000.00","$41,340.00",24,45,80,Platinum,5,5,25,11,2,          17,       .,   $701.75,           3,129,,
10250,U,0,33,0,26,F,10,    $90.00,     $0.00,   $113.00,"$48,000.00","$47,320.00",26,26,63,Platinum,5,5,17,5,0,           .,       .,   $675.63,           .,75,,
10270,H,0,20,0,26,M,10,    $60.00,     $0.00,    $43.15,$117000.00,"$86,840.00",19,19,66,Platinum,2,2,16,19,3,          43,       .,   $500.49,           2,110,,
10271,U,0,42,1,6,M,5,    $50.00,    $90.00,    $55.00,"$94,000.00","$39,780.00",35,54,101,Platinum,5,13,34,19,3,          19,    $18.00," $1,088.82",           2,150,,
10274,U,0,17,0,26,M,10,    $90.00,     $0.00,    $52.50,"$98,000.00",$443040.00,27,27,71,Platinum,5,5,19,12,2,          33,       .,   $673.89,           3,88,,
10277,H,0,58,0,13,F,5,    $50.00,   $100.00,    $66.75,"$78,000.00","$71,760.00",41,62,104,Platinum,6,6,32,17,3,          23,       .," $1,116.34",           2,150,,
10280,U,0,22,0,26,U,10,    $90.00,     $0.00,    $24.65,$190000.00,$632840.00,26,26,75,Platinum,5,5,21,14,2,           .,       .,   $670.47,           3,123,,
10288,H,0,20,3,17,F,2,    $50.00,    $50.00,    $29.75,$162000.00,"$75,790.00",13,27,74,Platinum,4,13,24,22,3,          27,    $10.00,   $380.88,           2,116,,
10292,H,0,0,0,6,M,3,    $40.00,    $41.65,    $48.25,$106000.00,$751790.00,20,41,81,Platinum,6,6,27,17,2,          21,       .,   $314.69,           2,105,,
10312,H,0,38,1,15,F,3,   $100.00,   $100.00,    $56.65,"$91,000.00","$60,970.00",18,35,76,Platinum,5,13,28,9,2,          21,    $20.00,   $834.19,           3,136,,
10322,U,0,35,1,14,M,3,    $50.00,   $100.00,    $75.00,"$70,000.00","$60,970.00",27,38,46,Gold,7,12,10,4,1,          36,    $20.00,   $838.15,           3,50,,
10328,H,0,33,3,13,F,2,    $50.00,    $47.50,    $36.55,$135000.00,"$91,260.00",20,36,91,Platinum,3,12,28,32,3,           .,     $9.33,   $314.61,           2,138,,
10330,U,0,32,2,4,M,3,    $75.00,    $50.00,    $41.50,$121000.00,$113750.00,22,32,76,Platinum,4,9,17,27,3,          26,    $10.00,   $485.50,           3,151,,
10355,U,0,15,1,18,M,3,    $55.00,    $50.00,    $37.60,$132000.00,$108290.00,15,35,92,Platinum,5,14,33,25,3,          18,     $9.00,   $391.20,           2,153,,
10402,H,0,32,1,17,M,5,    $80.00,    $80.00,    $42.50,$118000.00,$155090.00,16,30,71,Platinum,5,11,30,26,3,          20,    $16.00," $1,078.36",           3,159,,
10405,H,0,16,0,18,M,5,    $80.00,    $80.00,    $75.00,"$70,000.00","$42,380.00",14,33,80,Platinum,6,6,24,18,2,          73,       .," $1,086.66",           3,112,,
10478,U,0,41,3,21,M,2,    $40.00,    $49.00,    $31.55,$154000.00,$190710.00,28,49,115,Platinum,4,14,33,45,4,          19,     $8.33,   $279.81,           2,150,,
10499,H,0,41,0,6,M,3,    $95.00,   $100.00,    $75.75,"$70,000.00",$256880.00,23,45,93,Platinum,9,9,34,27,2,          20,       .,   $830.52,           3,210,,
10522,H,0,46,0,18,M,5,   $100.00,   $100.00,    $57.50,"$90,000.00","$66,560.00",14,33,78,Platinum,6,6,30,12,3,          18,       .," $1,124.47",           3,147,,
10524,H,0,25,2,13,F,3,    $70.00,    $68.35,    $61.35,"$85,000.00",$109330.00,31,47,91,Platinum,7,14,27,15,3,          50,    $15.50,   $555.21,           2,128,,
10525,H,0,35,2,16,M,3,    $50.00,    $37.50,    $30.70,$158000.00,$115050.00,14,33,98,Platinum,4,13,31,21,3,          23,     $7.50,   $342.60,           2,152,,
10548,H,0,26,0,6,F,5,    $90.00,   $100.00,    $53.95,"$95,000.00","$60,450.00",23,40,88,Platinum,5,5,21,14,2,          23,       .," $1,114.47",           3,112,,
10561,U,0,0,2,18,M,3,    $50.00,    $60.00,    $54.00,"$95,000.00",$720720.00,11,25,70,Platinum,6,13,21,41,3,           .,    $12.00,   $497.85,           2,169,,
10571,U,0,33,1,27,F,3,    $80.00,    $75.00,    $32.65,$149000.00,"$56,160.00",12,30,82,Platinum,4,13,28,27,3,           .,    $14.00,   $713.14,           3,152,,
10621,U,0,0,1,5,M,3,    $50.00,    $36.65,    $35.00,$141000.00,"$41,990.00",27,44,71,Platinum,6,12,16,11,2,          17,    $10.00,   $341.73,           3,120,,
10711,U,0,33,0,18,M,3,    $60.00,    $61.65,    $37.45,$133000.00,$174590.00,26,47,99,Platinum,6,6,23,47,3,          20,       .,   $491.92,           2,152,,
10716,U,0,30,0,18,M,3,    $50.00,    $55.00,    $45.00,$113000.00,$133250.00,16,37,77,Platinum,6,6,30,12,2,          20,       .,   $399.29,           3,126,,
10720,U,0,34,0,18,M,3,    $90.00,    $85.00,    $50.00,$102000.00,"$83,200.00",15,35,84,Platinum,5,5,28,21,3,          19,       .,   $716.46,           3,128,,
10724,H,0,0,0,17,F,3,    $75.00,    $70.00,    $55.00,"$94,000.00","$72,410.00",13,30,84,Platinum,4,4,28,16,3,          69,       .,   $541.17,           3,153,,
10734,H,0,0,1,17,M,3,    $50.00,    $50.00,    $43.90,$115000.00,$120250.00,26,45,106,Platinum,5,14,31,27,3,          26,    $10.00,   $391.56,           2,154,,
10735,H,0,26,1,26,F,3,    $75.00,    $75.00,    $46.80,$109000.00,$109980.00,14,34,59,Platinum,4,13,20,11,2,          20,    $15.00,   $714.94,           3,100,,
10758,U,0,28,0,4,M,3,   $100.00,    $82.50,    $65.00,"$80,000.00","$50,830.00",22,36,84,Platinum,5,5,26,18,3,           .,       .,   $705.97,           3,148,,
10766,H,0,42,0,18,F,3,    $50.00,    $62.50,    $48.35,$105000.00,$296920.00,12,27,77,Platinum,3,3,14,15,2,           .,       .,   $537.63,           3,117,,
10779,U,0,36,1,20,F,3,    $50.00,    $50.00,    $49.00,$104000.00,"$50,700.00",19,38,101,Platinum,5,13,31,20,3,          73,    $10.00,   $388.51,           2,146,,
10821,H,0,34,1,18,M,3,    $75.00,    $65.00,    $34.25,$143000.00,"$51,740.00",22,41,85,Platinum,5,13,30,13,3,          22,    $11.00,   $550.32,           3,150,,
10825,H,0,55,6,11,F,1,    $40.00,    $38.90,    $38.45,$129000.00,$113880.00,28,42,54,Platinum,6,14,15,16,2,          24,     $8.17,   $230.48,           2,53,,
10888,H,0,0,1,22,F,3,    $50.00,    $76.65,    $46.00,$110000.00,"$84,630.00",24,45,81,Platinum,4,14,22,20,3,           .,    $20.00,   $701.91,           2,99,,
10901,U,0,42,1,17,F,5,    $75.00,    $75.00,    $53.85,"$96,000.00",$151710.00,16,24,66,Member,2,6,19,13,3,           .,    $15.00,   $776.06,           3,124,,
10903,H,0,40,0,15,F,5,    $75.00,    $75.00,    $45.30,$112000.00,"$72,930.00",19,37,91,Platinum,4,4,28,16,3,          18,       .,   $774.64,           3,151,,
10965,H,0,46,2,6,F,3,    $65.00,    $66.65,    $56.45,"$92,000.00","$86,970.00",19,34,49,Platinum,6,14,12,10,2,          18,    $15.00,   $555.05,           3,57,,
10975,H,0,32,0,19,F,3,   $115.00,    $96.65,    $88.35,"$60,000.00","$64,740.00",17,39,99,Platinum,6,6,33,15,3,          38,       .,   $963.94,           3,151,,
10976,H,0,42,1,18,M,3,    $50.00,    $50.00,    $54.30,"$95,000.00","$53,300.00",29,48,97,Platinum,4,12,28,14,3,          21,    $10.00,   $393.56,           2,123,,
10983,U,0,45,2,24,F,3,    $50.00,    $32.50,    $18.85,$236000.00,$107250.00,11,28,75,Platinum,4,12,30,22,3,          69,     $6.50,   $345.61,           2,136,,
11000,H,0,50,0,18,F,5,   $110.00,   $110.00,    $49.70,$103000.00,$277160.00,14,33,86,Platinum,6,6,30,16,3,          20,       .," $1,114.69",           3,147,,
11016,H,0,38,1,7,F,5,    $75.00,    $60.00,    $35.00,$141000.00,$118820.00,31,49,99,Platinum,6,14,28,19,3,          21,    $12.00,   $497.03,           3,149,,
11021,U,0,32,0,9,M,3,    $50.00,    $60.00,    $63.10,"$83,000.00",$193440.00,33,51,79,Platinum,7,7,19,13,2,          19,       .,   $398.67,           3,89,,
11055,H,0,26,1,15,M,2,    $35.00,    $27.50,    $30.00,$161000.00,"$27,560.00",12,24,51,Platinum,5,9,13,7,2,          22,     $5.00,   $215.80,           2,87,,
11058,H,0,0,2,16,M,3,    $50.00,    $50.00,    $53.65,"$96,000.00","$51,870.00",23,39,90,Platinum,5,12,26,15,2,           .,    $10.00,   $399.59,           2,136,,
11061,U,0,35,2,24,F,2,    $80.00,    $58.00,    $52.35,"$98,000.00","$98,670.00",14,33,84,Platinum,4,13,27,19,3,          19,    $13.00,   $394.17,           3,143,,
11081,U,0,34,2,7,F,3,    $75.00,    $78.35,    $70.25,"$75,000.00","$58,630.00",29,46,90,Member,5,12,22,20,3,           .,    $16.00,   $697.71,           3,100,,
11108,U,1,41,2,15,F,3,   $100.00,   $100.00,    $67.30,"$78,000.00","$97,240.00",16,34,86,Member,5,14,30,13,3,          24,    $20.00,   $812.64,           3,154,,
